gene,p_val,avg_log2FC,padj
AC061958.1,0.0046079430700835,-1.09137989633058,0.105141697199892
AL157871.4,0.0017483791141789,-1.09011925882488,0.0719497923108013
TP53TG5,3.71767465081173E-06,-1.09006844330733,0.0047806640527545
LINC02788,0.0927408789647913,-1.08912603232168,0.393356743405278
AC022679.2,0.0102874035317078,-1.08769344931473,0.152434408335406
AC117480.1,0.0087596305845744,-1.08758628661161,0.143363299467358
AC073548.2,0.009364096112261,-1.08746553818138,0.146848277272679
C5AR2,0.0496084105680416,-1.08504242124259,NA
AP001092.1,0.0296639938827863,-1.084699462086,0.239747187315088
PRKCA-AS1,0.0020400103310567,-1.08442867892239,0.0762623555686692
GCNT7,0.0144699989777865,-1.08404218487244,0.181447787305641
AP000320.1,0.0497440738609366,-1.0835701981932,0.304090240421192
Z84468.1,0.0051456373587673,-1.0822734296872,0.110677311075136
AC096747.1,0.0105153856980071,-1.0812863147826,0.154201704793495
PITRM1-AS1,0.002742412594783,-1.08085456546761,0.0851466744657932
TYR,0.0254724688693691,-1.08052045574944,0.226459682496421
AL021707.1,0.0071444626327955,-1.08043444778261,0.127864498631386
AC112206.2,0.0019439191898599,-1.07923835634956,0.0752403787112606
AC008083.3,0.0359788921622352,-1.07856426128438,0.261826809631526
MDC1-AS1,0.0162450389366956,-1.07837940801587,0.190543813032291
AC018628.2,0.0092054167159472,-1.07767179353613,0.146233976549733
LINC01828,0.0075343772177771,-1.07727322185641,0.131501453674545
AC117503.5,0.0652997175305672,-1.07721713938079,0.338009388063065
AP003352.1,0.108164881153414,-1.07682035848895,NA
PLN,0.0347504534641996,-1.07523896462867,0.257984500501437
DPYD-AS1,0.0089639568167736,-1.07502541870574,0.14452384883393
HMGN3-AS1,0.0158534284656102,-1.0747145121547,0.188973939038663
MPRIP-AS1,0.0159628391785995,-1.07272524319028,0.189113118090397
AL023553.1,0.0086029306776387,-1.07244801618939,0.142245616474163
DNM3OS,0.742914024208003,-1.07026839306968,0.912626548008899
AC010327.8,0.0489315434733619,-1.06925379018703,NA
AC009230.1,0.0163123103849082,-1.06840556883249,0.190543813032291
AC079841.2,0.0237770502893055,-1.0681496691046,0.218508543317186
AC125613.1,7.5828773780547E-06,-1.06764682101154,0.0077797654992915
TEMN3-AS1,0.033442882864163,-1.06735977206389,0.253946312428465
FZD9,0.0132698287408561,-1.06733527991774,0.175144227875097
CNOT10-AS1,0.0903887639918384,-1.06592220178454,0.389108159748254
VPS9D1-AS1,0.0360572171664477,-1.06124830841448,0.262046507508404
AC016642.1,0.0081693390671297,-1.05956230914841,0.13809634856858
MYCBP2-AS1,0.0007990836684681,-1.05935506800499,0.0497782120533959
AC020656.1,0.0334218145732794,-1.05898031423628,0.253946312428465
